subsidiarynumber;vat;name;adprotected;startdate;enddate
1000760720;14539794;"Enø bageri I/S";0;1990-10-05;
1023782916;39709899;"Torvets Bageri & Cafe";1;2018-07-06;
1001069926;26273870;"STILLING BAGERI ApS";0;1992-01-01;
1023714392;38714295;"MENY Viborg Marsk Stigs Vej";0;2018-06-01;
1024116561;34480346;"Homemade Bakery, Nr. Alslev";1;2018-12-01;
1019017679;35548890;"Digebageren i Højer";0;2014-02-01;
1018199889;33388446;"emmerys aps";0;2013-01-16;
1018704567;26259495;"SUPERBRUGSEN NÆSBY";0;2013-08-23;
1019788152;36109092;Nørgaard;1;2014-10-06;
1004297429;26924049;"Halvrimmen Bageri";0;1997-01-01;
1023623672;28504462;"FARUMHUS A/S";1;2018-05-17;
1024068788;39965062;"Kager med Hjertet";1;2018-10-23;
1018000519;34721947;"BAGERHUSET GALTEN ApS";0;2012-10-12;
1021812796;38065831;"Næsby Den Søde Bager ApS";0;2016-10-05;
1020058516;20458984;"City Bakery ApS";0;2015-02-21;
1024683253;40501428;"Bageriet i Stengade ApS";1;2019-05-07;
1023158880;39173190;"KonditorBager Kolding v/ Marlene Wraae";0;2017-12-19;
1007176542;24977382;"ÄDSTED BAGERI ApS";0;1999-10-18;
1024402289;34471193;Bagerhjørnet;0;2019-02-01;
1018557548;35954716;"Føtex Kolding";0;2013-10-01;
1020793127;28504462;"FARUMHUS A/S";0;2015-10-08;
1025518450;41116390;"Polski Chleb DK";1;2020-01-28;
1022363154;38574590;"Lassac ApS";1;2017-04-10;
1002981534;16391239;"LEJRE BAGERI V/JENS LARSEN";0;1992-10-01;
1024558009;14629130;"thrysøe the & kaffebar";1;2019-04-12;
1004271147;20222271;"TAFFELBAY ApS";0;1997-07-01;
1020369589;36731680;"Seest Bageri ApS";0;2015-05-02;
1026022327;20014938;"Svaneke Brød";1;2020-07-09;
1021293284;37574643;"For Emma ApS";1;2016-03-31;
1024562162;40396497;"Madam Eclair IVS";0;2019-03-18;
1003927928;25973569;Slotsbageriet;0;1996-12-26;
1000729779;14364374;"BJERAGER HOVGÅRD V/BODIL OG KIM MØLLER";0;1990-07-15;
1002948116;13839344;"BLÅVAND BAGERI V/OLE KRISTENSEN";0;1990-02-12;
1021546603;37824356;"Gaard Bageriet";1;2016-06-01;
1017763403;34529191;"Pain D'Or v/Ibrahim Saleh Shahin Hamad";0;2012-07-01;
1024875470;20222271;"SIESTA BAGERIET";1;2019-07-15;
1021096632;10521815;"Zealand Business College";1;2016-01-01;
1018383566;30138929;"Fru Nielsens Bageri";1;2013-03-01;
1001386473;28955596;"Bageriet Ingeborg I/S";0;1994-01-01;
1003510323;28163460;"Hovedgård Bageri v/Henrik Kjær";0;1995-08-01;
1020474749;36918691;"Egeris Konditori ApS";1;2015-05-29;
1022561541;35055592;Christianshavn;1;2017-08-01;
1023653679;31612144;"Naan Lygten";1;2018-05-01;
1003073967;26259495;"IRMA A/S ØSTERPORT STATION";0;1991-01-01;
1009799091;27098894;"Nr. Lyndelse Bageri v/Lena Hansen";0;2003-04-05;
1015892273;32726186;"Torvebageriet v/Kurt Thomsen";0;2010-03-12;
1024501562;27034705;Brødværket;1;2019-03-15;
1003393592;53383211;"Vestre Fængsel";0;1993-01-01;
1021096632;10521815;"Zealand Business College";1;2016-01-01;
1025572544;35702121;Kornbageren;1;2020-03-01;
1005254164;35954716;FØTEX;0;1998-10-14;
1002895902;10431875;"ØRBÆK BAGERI APS";0;1986-11-25;
1018262149;26259495;"Kvickly Buddinge (ny)";0;2013-02-11;
1000703849;14233431;"Houlkær Bageri";0;1990-07-01;
1016843861;33644388;"SUNSHINE BAKERY F.M.B.A.";0;2011-02-02;
1025292932;27035353;"folehave bageriet";1;2019-12-01;
1002446282;74998011;"TORVEBAGEREN V/THOMAS KRISTENSEN";0;1984-04-30;
1003224333;35954716;FØTEX;0;1991-03-09;
1023084798;35548890;"Digebageren i Bredebro";0;2017-12-15;
1017760072;34526842;BRØDHJØRNET;0;2012-08-01;
1026389794;41753064;"Engparkens Bageri";1;2020-10-12;
1025491595;41108193;Mvnielsen;0;2020-01-25;
1022900656;38985140;"BREAD & FOOD Company";1;2017-10-01;
1003628466;18965690;"NORS BAGERI V/RENE JESPERSEN";0;1996-01-01;
1003224564;35954716;FØTEX;0;1990-09-12;
1023388126;37256218;"Bakery By Doktor Aps";1;2018-03-01;
1017776165;33388446;"EMMERYS APS";0;2012-05-01;
1004460395;20706201;"Assens Bageri V/Brian Myntman";0;1998-03-01;
1022207160;38432559;"07022017 ApS";1;2017-02-07;
1024086018;38172441;"Serenity Cupcakes";1;2018-10-31;
1021448733;28504462;"FARUMHUS A/S";0;2016-05-21;
1003224710;35954716;FØTEX;0;1987-01-01;
1022410772;26180538;26180538;0;2017-04-20;
1000783109;14676392;"stubs bageri v/Henning Stub";0;1991-01-01;
1003078647;26259495;"Coop SuperBrugsen Amagerbrogade";0;1980-12-22;
1022948551;38302493;"NSB ApS";1;2017-08-02;
1022783153;38421417;"BT Bager ApS";0;2017-04-01;
1003224321;35954716;FØTEX;0;1990-10-10;
1019903571;36135735;"Skalborg Bageri v/Jan Jakobsen";1;2014-12-01;
1019411202;18543095;"Svinninge Bageri Holbæk";0;2014-06-03;
1003479988;13945306;"BAGERHJØRNET V/KNUD STUDSTRUP";0;1995-07-01;
1019388618;31026318;Bageren;0;2014-04-16;
1018663496;35408266;"ROS BAZAR ApS";0;2013-08-01;
1001456647;27035353;"Bageriet Basseriet v/Taiseer K A Mousa";0;1994-12-31;
1003224278;35954716;FØTEX;0;1987-01-01;
1018212966;34744866;"Frilandsmuseet Hjerl Hede";1;2013-01-22;
1002928968;12673213;"KVICKLY VARDE";0;1976-07-01;
1022933503;38996371;Brødkompagniet;1;2017-10-17;
1003062814;40685618;"SUPERBRUGSEN LØJT";0;1980-12-22;
1020456341;26259495;"Coop Kvickly Albertslund";0;2015-09-30;
1024318350;40180362;"Mønske Kagekreationer By Betina";1;2019-02-25;
1003224643;35954716;FØTEX;0;1987-01-01;
1021408006;37437336;"Vintage 199";1;2016-05-11;
1014227969;31271088;"VESTBYENS BAGERI, IKAST ApS";0;2008-02-19;
1024732157;33150113;Brødhjørnet;0;2019-06-01;
1003055820;37954918;"SUPERBRUGSEN OKSBØL";0;1964-04-05;
1025568962;41170999;"Bakery By Hermann Charlottenlund ApS";1;2020-02-13;
1018853163;35265333;"Bogense Bageren";0;2013-11-11;
1003224783;35954716;FØTEX;0;1987-01-01;
1021874899;38137727;"Maria´s Bageri Hvalsø ApS";0;2016-10-17;
1025694917;39946505;"Jacobsens Bageri Stubbekøbing";1;2020-04-01;
1012137016;29421544;"HORNBÆK BAGERI, RANDERS ApS";0;2006-03-23;
1003079709;26259495;"COOP SuperBrugsen Skovlunde";0;1980-12-22;
1019336936;31864496;"SNEJBJERG BAGERI ApS";0;2014-05-01;
1019933993;14117601;"Aulum bageri";1;2014-10-16;
1003224539;35954716;FØTEX;0;1990-05-16;
1001581592;27109764;"Palles Bageri";0;1968-05-16;
1018278282;35043802;"Ejvinds ApS";0;2013-02-07;
1020375953;36733977;"Lyngens Bageri ApS";0;2015-05-01;
1002998971;20031611;"SUPERBRUGSEN HØRUPHAV";0;1988-01-01;
1023788639;33146825;"Byens Bager";0;2018-07-11;
1013298013;30592093;"SDR.FELDING BAGERI ApS";0;2007-05-16;
1022948640;39028484;"Konditorhjørnet ApS";1;2017-10-13;
1002923942;26150108;"Strandvejens Konditori I/S v/Herdis Jessen og Kirsa Maria Therkildsen";0;1993-02-15;
1023989715;34471193;"Steinbeck konditori";1;2018-10-01;
1026053958;41534494;"Chimney Cake Bakery ApS";1;2020-07-21;
1024165732;35954716;"Salling Aarhus";0;2018-12-17;
1024416654;40266992;"Simply Cake";1;2019-02-18;
1016172754;33059337;"MEVLANA'S PASTANESI ApS";0;2010-07-01;
1003224369;35954716;"FØTEX SUPERMARKED";0;1994-01-01;
1008740298;26219590;"Mester Jacob v/Jacob Overgaard";0;2001-07-01;
1024068974;39964198;"Piece of cake/working bread";1;2018-10-23;
1000677680;14087338;"Blokhus Bageri v/Anna kristensen";0;1990-04-06;
1003076243;26259495;SUPERBRUGSEN;0;1980-12-22;
1019831015;36119861;"Kager med sjæl/Anna Klimek";0;2014-10-01;
1009197857;27424406;"Wienerbageriet Døckerslund/ Jan Verner Hansen";0;2001-01-01;
1010358910;35954716;FØTEX;0;2004-04-28;
1019236133;28163460;"Kagehuset Stensballe";0;2014-03-20;
1026424468;41810378;"Liljedahls Bageri ApS";1;2020-11-02;
1024471744;40315586;"Everyday Magic IvS";1;2019-03-05;
1024165678;35954716;"Salling Aalborg";0;2018-12-17;
1019592436;36056487;"N&S ApS";0;2014-07-28;
1016018240;32360408;"DANISH BREAD STUDIO VESTERGADE ApS";0;2010-04-29;
1025258254;40951849;"Kappendrup Bageri ApS";1;2019-11-22;
1022598054;38714295;"SPAR Feldsted";0;2017-07-01;
1017401757;34208948;"EJBY BAGERI ApS";0;2012-01-12;
1025085732;40808183;"Al Asala Konditori I/S";1;2019-10-01;
1003094391;50022528;"SUPERBRUGSEN BJÆVERSKOV";0;1964-09-20;
1013233302;19174794;"Wendorff v/Preben Wendorff";0;2007-04-26;
1020577033;28504462;"FARUMHUS A/S";0;2015-08-01;
1023212117;39216213;A.S.C.ApS;0;2018-01-05;
1019406578;35855661;"EHLERS BOUTIK ApS";0;2014-05-22;
1026606566;16062901;"Landlyst Bageri";1;2020-12-22;
1020318992;36713534;"Hjallerup Bageri ApS";0;2015-04-15;
1003103998;54311117;"SUPERBRUGSEN SVENSTRUP";0;1976-04-01;
1006364109;21986747;"OTTERUP BAGERI/ ALLAN NORDBERG LARSEN";0;1999-10-31;
1023747355;39681633;"Eriks Bageri ApS";0;2018-06-27;
1013736355;30963725;"Kjær's Kager v/Trine Jespersen";1;2007-10-01;
1020091459;36233613;"Landsby Bageren Vorbasse";1;2015-01-01;
1001385210;17900447;"KONDITORIET V/MICHAEL HJORT";0;1994-08-01;
1003094202;49992211;"ØLSEMAGLE BRUGSFORENING";0;1964-07-19;
1018410172;27842356;"Rustik bageriet";0;2013-06-01;
1023220187;39220652;"Elegant Confection";1;2018-01-15;
1001713914;28063032;"KONDITOR-BAGER ØRUM v/Bent J Bachstein";0;1971-11-15;
1001242046;17199781;"Bager Andresen v/Claus Andresen";0;1993-07-05;
1019246430;20458984;"CITY BAKERY ApS";0;2014-03-25;
1026462033;41838191;"Pastry By Holst & Riess I/S";0;2020-11-11;
1019633280;18623978;"SuperBrugsen Havdrup Bageri";1;2014-09-01;
1000323540;12057253;"BAGERMESTER ERLING JAKOBSEN";0;1967-07-03;2020-09-30
1021167289;20222271;"TAFFELBAY ApS";0;2016-02-01;
1001418045;18043041;"Konditor Bager v/Morten Clausen";0;1994-10-03;
1010598822;27763227;"Ranum Efterskole College";0;2004-05-01;
1017185531;33906986;"Støtteforeningen Heart And Soul";0;2010-09-01;
1016990058;33726864;"museumsforeningen for skovsgaard mølle og bageri museum";0;2011-07-11;2019-07-13
1003162033;66288412;SUPERBRUGSEN;0;1964-06-06;
1023343831;39330679;"-ANTONS- ApS";1;2018-02-13;
1025153487;20041846;"Læsø Bageren";1;2019-10-21;
1024227649;40103864;"BH Bageri ApS";1;2018-12-18;
1013513593;30735153;"ÆRØSKØBING BAGERI ApS";0;2007-08-07;
1024663473;40485082;"Queen's Delight ApS";0;2019-05-01;
1012534341;29838968;"BRIANCÓN ApS";1;2006-08-24;
1019535440;36036753;"KAGEKRUMMEN ApS";0;2014-07-04;
1016859210;33388446;"EMMERYS ApS";0;2011-05-16;
1025898601;39730790;"Egtved Bageri";1;2020-06-12;
1018436902;34908273;Småkageriet;0;2013-05-01;
1011335108;35954716;FØTEX;0;2005-08-23;
1022625663;21061883;"Bodenhoffs Bageri Aps";1;2017-08-25;
1017313831;34074496;"Det Gyldne Brød, Lystrup ApS";0;2011-11-29;
1019830280;29421544;"Hornbæk Bageri, Randers ApS";0;2014-04-23;
1007545939;35954716;"Føtex Aalborg Øst";0;1999-08-25;
1021517565;37803731;"Sweet´s ApS";0;2016-06-17;
1013728697;29769869;"SKOVS BAGERIER ApS";0;2006-08-04;
1003225031;35954716;"BILKA LAVPRISVAREHUS";0;1994-01-01;
1021741406;35954716;"FØTEX FOOD ST. KONGENSGADE";0;2016-09-12;
1025807991;41337079;"Sweet Moments";0;2020-05-04;
1024034891;39935171;"Dansk Brød Taastrup IVS";0;2018-10-05;
1008377215;25982894;"Løgstrup Bageri v/Connie Ladefoged";0;2001-05-01;
1021996536;38246399;"Bageriet Hjortevænget ApS";1;2016-12-11;
1002505169;10028922;"GROES BAGERI ApS";0;1985-02-01;
1018122061;34751773;"Hertha Bofællesskaber og Værksted";0;2013-01-01;
1025515141;33150113;"P. A. Andersen & Sønner ApS - Meny Horsens";0;2020-02-27;
1016109084;33031858;"EGEPARKENS BAGERI ApS";0;2010-06-11;
1017361941;34021937;"BRØD & OST I/S";1;2012-01-01;
1016622075;33496060;"HOLMS BAGERI ApS";0;2011-02-02;
1024386062;40240578;"KB Ringsted ApS";1;2019-02-04;
1017896357;21061883;"Bodenhoffs Bageri Aps";1;2012-09-03;
1012127266;29367876;"Den Lille Bager v/Lars Due Christensen";0;2006-03-15;
1002595912;25931920;"Den Gyldne Kringle v/Peter Nielsen";0;1977-02-15;
1010166914;35954716;"BILKA One Stop";0;2004-03-08;
1026120833;19858472;"Byens Brød og Cafe";0;2020-09-01;
1003292952;13978298;"ANDELSLANDSBYEN NYVANG";1;1993-01-01;
1003011918;26677041;"FJELLERUP BAGERI ApS";0;1991-01-01;
1021473576;33388446;emmerys;1;2016-06-02;
1001144648;16694304;"GISTRUP BAGERI ApS";0;1992-12-22;
1017273791;33986777;"Lunds Bageri v/Michael Christensen Lund";0;2012-01-01;
1024732165;33150113;"P. A. Andersen & Sønner Hedensted";0;2019-06-01;
1021204966;33388446;"emmerys, Algade";0;2016-02-29;
1024694816;40378251;"MIBMADMARKED LANGENÆS";1;2019-05-13;
1022410462;38487981;"Øster Hurup Bageri";1;2017-04-01;
1024870657;40657878;"Bakeries ApS";1;2019-07-12;
1023387189;33388446;"Emmerys ApS";1;2018-04-01;
1000987985;15845147;"DEN HELT RIGTIGE BAGER APS";0;1991-12-01;
1010388747;21098205;"THE BREAD STATION";0;2004-01-01;
1020326081;36715936;"Nørre Aaby Bageri ApS";0;2015-04-16;
1005272718;35954716;BILKA;0;1998-12-30;
1023861816;37518344;"Bertel GL. kongevej";1;2018-09-01;
1023648152;21209589;Jeremys;1;2018-05-28;
1024724308;40536663;"Møllers Hjemmebag";1;2019-05-22;
1003076280;26259495;KVICKLY;0;1980-12-22;
1016860855;33388446;"EMMERYS ApS";0;2011-05-16;
1020230173;34480346;"Casero ApS";0;2015-04-01;
1015010092;35228616;"Syddansk Erhvervsskole";1;2009-01-20;
1016860979;33388446;"EMMERYS ApS";0;2011-05-16;
1019436248;35683933;Joans;1;2014-05-26;
1004007733;29103909;"Hvide Sande Bageri v/Martin Thygesen";0;1997-03-01;
1004909421;46994051;"Food afdelingen, Style & Wellness afdelingen, Dental afdelingen samt Skolehjemmet på tech college";0;1998-01-01;
1016860871;33388446;"EMMERYS ApS";0;2011-05-16;
1012311172;29609802;"GERTZ DANISH BAKERY, KOLDING ApS";0;2006-05-24;
1025255557;40949739;"Nyhavn Bageri og Café ApS";0;2019-11-21;
1000059898;10338271;"NØRREGADES BAGERI V/ALLAN S SØRENSEN";0;1986-01-01;
1017279056;35954716;BILKA;0;2012-03-01;
1007793835;18156881;"Nordbyens Bageri v/Palle Nielsen";1;2000-09-12;
1022300624;18471930;"Munkegårdens Bageri & Café";1;2017-03-15;
1003055996;38100513;"SUPERBRUGSEN BRØRUP";0;1964-05-27;
1003079485;26259495;"COOP Kvickly Vestbyen";0;1980-12-22;
1011261139;28682476;"LE GÂTEAU A/S";0;2005-04-13;
1017200530;31262208;"Grannys House";0;2011-10-18;
1024223104;40097724;"Délice by Ana";1;2018-12-17;
1017603767;33388446;"Emmerys ApS";0;2012-04-13;
1007888429;25597893;"Hedo´s Bageri I/S";0;2000-09-15;
1016573074;35954716;Føtex;0;2011-05-12;
1017623016;20213094;"Lagkagehuset - 651 Fredericia";0;2011-12-21;
1016860987;33388446;"EMMERYS ApS";0;2011-05-16;
1022375659;10028922;Torvebageriet;0;2016-10-20;
1003476801;18543095;"SVINNINGE BAGERI V/RENE DIETER";1;1995-07-18;
1021872780;31262208;"Granyys House Dragør";1;2016-11-07;
1022440221;33388446;"emmerys ÅBY";1;2017-06-01;
1016577029;37904228;"SuperBrugsen Kolt";0;2011-01-17;
1025305295;34332665;"Hobro Brød";1;2019-11-01;
